weight_id,w_idiomatic,w_collocational,w_discourse,w_pragmatic,w_calque,mean_test_spearman,std_test_spearman,mean_test_pairwise,std_test_pairwise,mean_train_spearman,std_train_spearman,mean_test_kendall
8514471c17832c14,0.05,0.1,0.25,0.55,0.05,0.034721422908981316,0.15279390821339647,0.48098222135273266,0.06389440783144565,0.2664164669553223,0.051641942257530514,0.026580338690239135
60f510fb122ce5af,0.1,0.05,0.2,0.55,0.1,0.03467562770974166,0.15208078913636713,0.481429403541808,0.06373658432139594,0.26571347498096215,0.05158330821469384,0.026541960779324275
11fb79727860b57f,0.05,0.1,0.15,0.65,0.05,0.03463197134123041,0.1504429566449225,0.48065890945468265,0.06435043971715067,0.2644188014340934,0.05158126560117905,0.026380166737911836
9da8a9c8112a1d45,0.2,0.05,0.2,0.5,0.05,0.03453040213025525,0.15285964492748497,0.48159274720334744,0.06474866410146266,0.26696962394531903,0.05146553258185838,0.02651149278619756
a127f6120cb06029,0.05,0.05,0.3,0.5,0.1,0.03449648108407902,0.15275990631414754,0.48157372951729593,0.06345457387557187,0.2674076503788962,0.05168444137956399,0.02618799314930735
8a2bc207a555c52d,0.1,0.05,0.1,0.65,0.1,0.03438283603646245,0.14986818360439377,0.4822763245800314,0.06402789991576459,0.26354386950890035,0.05149295702134289,0.026225608615078413
341e757bba5abe96,0.15,0.05,0.25,0.5,0.05,0.03414929731818808,0.15299448825364942,0.48157015637164063,0.06430538957697765,0.26708450395244904,0.05157751566180448,0.026190403229895503
b67e8f186e849b8f,0.1,0.1,0.2,0.55,0.05,0.034120358560786844,0.1526376088854846,0.4810073845324152,0.06373895183953923,0.2662398071365635,0.05156662752180794,0.026084198210420146
7070bc0e8a731f44,0.1,0.1,0.15,0.6,0.05,0.03411321626141765,0.1511115828920869,0.4810077595154665,0.06427870109842769,0.2651948737889993,0.05152282215745243,0.026093781728151712
721a994f5685fb7a,0.2,0.05,0.1,0.6,0.05,0.03410309653650396,0.1503922892710881,0.48182537486919313,0.06544955813120627,0.26420987730247164,0.051437483964980824,0.026140502595982554
303773beb302614e,0.05,0.05,0.4,0.45,0.05,0.03410157069027778,0.1544918179683837,0.48167315848083164,0.06435365155131997,0.2686659071278514,0.05162560628913451,0.026099989071502336
2944bbcda618e408,0.15,0.05,0.2,0.5,0.1,0.034099305261695856,0.15256020768727627,0.4815386830879409,0.0638241553286355,0.26688856287101587,0.05151605246115812,0.02615993438235076
0fcdcac0b24c012f,0.1,0.05,0.25,0.5,0.1,0.0340116509369056,0.15260176950192636,0.48196019101881826,0.06327782022559733,0.2669532578981225,0.05160813794564361,0.025991538362668265
4348d0b9f843d7df,0.15,0.05,0.15,0.55,0.1,0.03398228912409078,0.15191614409590096,0.48188143008309936,0.06448913303379997,0.2656810563177194,0.05149141494176759,0.026124462227621215
edf260ef43310473,0.05,0.1,0.1,0.7,0.05,0.033973137812689964,0.14978929403232602,0.4813253076609964,0.0649344305229822,0.2639528977236398,0.05152929981886807,0.025897993764702063
e3fe28743e831e58,0.1,0.05,0.35,0.45,0.05,0.033969635853781065,0.15438554061291895,0.4818811437965851,0.06454896348908809,0.2682276205926376,0.051638794757471754,0.025865445698956033
7c351371803ad6df,0.05,0.1,0.3,0.5,0.05,0.03386547136465876,0.15357416498378765,0.4810442381563153,0.06389769390096339,0.2678113612082741,0.05165922884816394,0.025935853888992503
175c98c0e687ba5b,0.1,0.05,0.05,0.75,0.05,0.03380463033433312,0.14911885881580067,0.48230090042465107,0.06765594003382215,0.26303162641785,0.051431276052766005,0.02585949202524923
4bab8e023b1958da,0.05,0.05,0.05,0.75,0.1,0.03378162912739574,0.14919740906660248,0.48216851286729717,0.0668343095157955,0.26273965957719847,0.05146261299113945,0.025831525666291863
91ded0b683a530a6,0.25,0.05,0.15,0.5,0.05,0.033775514122862844,0.15258912928468524,0.481519666526151,0.06493842800727231,0.2665414497281628,0.0514126884808238,0.0260050098530268
cb74d0c70c843f8c,0.05,0.05,0.05,0.8,0.05,0.03373791298821051,0.1493786302948981,0.48198267931567673,0.06791430111749755,0.2632309769483751,0.05148796881623472,0.025814669338882715
ae245e39fa6c49cb,0.1,0.05,0.05,0.7,0.1,0.03364098911755636,0.14925111370069377,0.48254642298426037,0.06650292353670371,0.26276967075719104,0.05141178974384874,0.025730786935662584
c14edef5f51e3494,0.15,0.05,0.05,0.7,0.05,0.03363321566699922,0.14925262213583143,0.48258547680671454,0.06754422368578729,0.2629862846356709,0.05141106668300812,0.025724566827358863
d7d9233c4d323605,0.05,0.05,0.1,0.65,0.15,0.033577519270298666,0.14974863911140016,0.48136700524697185,0.06457837166717001,0.26340959106532036,0.051508148179528895,0.02555889910673789
35bf9d9adb7425ed,0.05,0.05,0.15,0.6,0.15,0.033568048852570524,0.15086595000072117,0.4815979305655605,0.06462345658449206,0.2646795134035567,0.05156745750970527,0.025669809738783717
758de8b87d7c2069,0.15,0.1,0.2,0.5,0.05,0.03356771315823516,0.15297891929450833,0.4809392560606098,0.06433594322143737,0.2674651477090899,0.051485666644214306,0.0258193549517787
90595629082f90c4,0.05,0.05,0.05,0.7,0.15,0.03353912336302747,0.14914880335699832,0.48262070304349075,0.06683402847844579,0.2629199562819967,0.05143248524461968,0.02564332368903061
b2c486df9099c410,0.15,0.05,0.3,0.45,0.05,0.033532086619418526,0.15403113735193508,0.48178132353797626,0.06433771632989661,0.26792905781724036,0.05159709296613809,0.025620308351178928
92a804ee9dba9ec1,0.2,0.2,0.2,0.2,0.2,0.020851788964287906,0.1559585506020075,0.4798959721169987,0.06669103572399358,0.27394479649892184,0.05116131472377456,0.016987254189337053
c74b5fb28ac2ee2b,0.4,0.28,0.09,0.06,0.17,0.014214095488101581,0.1556903494452558,0.47951680331021196,0.06561295241446519,0.2744703544375049,0.050635407225231084,0.012301510904137712
e41da28d4b2feca2,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.010788747251801158,0.15423677071761258,0.4788798632945763,0.07058013529485596,0.2731113837434585,0.05024042597929546,0.010338229263453553
